Job_Title,Education_Level,Risk_Category,Average_Salary,Automation_Probability_2030,AI_Exposure_Index
Marketing Manager,Bachelor's,Low,135649,0.56,0.86
Doctor,PhD,Low,131433,0.12,0.8
Chef,Bachelor's,Medium,148962,0.56,0.32
Construction Worker,Bachelor's,High,104901,0.91,0.93
Teacher,Master's,Low,44133,0.25,0.1
Research Scientist,Bachelor's,Low,114293,0.08,0.7
AI Engineer,Master's,Low,66155,0.26,0.87
UX Researcher,PhD,Medium,116070,0.35,0.53
Nurse,Bachelor's,Low,86439,0.05,0.53
AI Engineer,Master's,Low,98500,0.14,0.19
Research Scientist,Bachelor's,Low,79887,0.2,0.56
Research Scientist,Bachelor's,Low,109880,0.09,0.51
Graphic Designer,Bachelor's,Medium,105352,0.65,0.41
Truck Driver,Master's,High,73781,0.93,0.94
Teacher,Master's,Low,126492,0.28,0.08
Marketing Manager,Bachelor's,Low,149635,0.65,0.83
Doctor,PhD,Low,99368,0.05,0.79
Security Guard,Master's,High,94344,0.72,0.52
Graphic Designer,Bachelor's,Medium,79223,0.68,0.47
Construction Worker,Bachelor's,High,68907,0.93,0.05
Nurse,Bachelor's,Low,115733,0.12,0.43
Graphic Designer,Bachelor's,Medium,80281,0.48,0
Retail Worker,Master's,High,128203,0.7,0.29
HR Specialist,Bachelor's,Medium,96416,0.37,0.54
Doctor,PhD,Low,59825,0.19,0.99
Financial Analyst,High School,Medium,42795,0.46,0.3
UX Researcher,PhD,Medium,127391,0.5,0.18
Lawyer,Master's,Medium,87635,0.34,0.35
Graphic Designer,Bachelor's,Medium,111115,0.63,0.12
AI Engineer,Master's,Low,87392,0.13,0.85
Security Guard,Master's,High,100143,0.8,0.96
Customer Support,PhD,High,94863,0.82,0.68
HR Specialist,Bachelor's,Medium,48819,0.47,0.3
Software Engineer,PhD,Low,142255,0.31,0.07
AI Engineer,Master's,Low,128664,0.15,0.89
AI Engineer,Master's,Low,33347,0.17,0.38
UX Researcher,PhD,Medium,105618,0.63,0.83
Software Engineer,PhD,Low,135309,0.63,0.99
Nurse,Bachelor's,Low,78276,0.28,0.97
Customer Support,PhD,High,145269,0.84,0.14
Customer Support,PhD,High,47060,0.83,0.6
Customer Support,PhD,High,118307,0.93,0.9
Retail Worker,Master's,High,98140,0.88,0.78
Retail Worker,Master's,High,145092,0.89,0.98
Customer Support,PhD,High,122965,0.92,0.15
Retail Worker,Master's,High,138204,0.94,0.26
Graphic Designer,Bachelor's,Medium,138500,0.55,0.66
Truck Driver,Master's,High,49728,0.72,0.91
Lawyer,Master's,Medium,79108,0.33,0.42
Marketing Manager,Bachelor's,Low,114724,0.41,0.42
Marketing Manager,Bachelor's,Low,123566,0.48,0.95
Truck Driver,Master's,High,33984,0.8,0.6
Chef,Bachelor's,Medium,140839,0.33,1
Marketing Manager,Bachelor's,Low,78481,0.7,0.12
Financial Analyst,High School,Medium,101343,0.42,0.51
Research Scientist,Bachelor's,Low,84034,0.27,0.02
Mechanic,Master's,Medium,66419,0.38,0.35
Graphic Designer,Bachelor's,Medium,79357,0.41,0.66
Nurse,Bachelor's,Low,99064,0.28,0.46
HR Specialist,Bachelor's,Medium,44280,0.62,0.17
Construction Worker,Bachelor's,High,49691,0.72,0.7
Data Scientist,PhD,Low,95234,0.44,0.78
Graphic Designer,Bachelor's,Medium,63783,0.63,0.41
HR Specialist,Bachelor's,Medium,95609,0.6,0.61
Marketing Manager,Bachelor's,Low,34590,0.66,0.9
Financial Analyst,High School,Medium,141463,0.53,0.63
Truck Driver,Master's,High,90891,0.8,0.15
Data Scientist,PhD,Low,127976,0.64,0.29
Security Guard,Master's,High,137046,0.8,0.57
Doctor,PhD,Low,51058,0.23,0.01
Customer Support,PhD,High,34258,0.88,0.33
Truck Driver,Master's,High,107273,0.75,0.78
Nurse,Bachelor's,Low,144365,0.07,0.19
Financial Analyst,High School,Medium,91146,0.31,0.83
Graphic Designer,Bachelor's,Medium,139759,0.47,0.37
Construction Worker,Bachelor's,High,89087,0.88,0.2
Chef,Bachelor's,Medium,105692,0.67,0.69
HR Specialist,Bachelor's,Medium,94930,0.63,0.37
Doctor,PhD,Low,80852,0.07,0.11
Financial Analyst,High School,Medium,135857,0.63,0.04
AI Engineer,Master's,Low,118816,0.11,0.36
Data Scientist,PhD,Low,73906,0.39,0.62
Research Scientist,Bachelor's,Low,79723,0.21,0.09
Nurse,Bachelor's,Low,98457,0.27,0.55
HR Specialist,Bachelor's,Medium,35659,0.46,0.81
Doctor,PhD,Low,114295,0.19,0.19
Doctor,PhD,Low,128989,0.09,0.07
HR Specialist,Bachelor's,Medium,125011,0.57,0.72
Research Scientist,Bachelor's,Low,70372,0.26,0.77
Lawyer,Master's,Medium,37203,0.32,0.47
Marketing Manager,Bachelor's,Low,72928,0.45,0.74
UX Researcher,PhD,Medium,42568,0.42,0.75
Data Scientist,PhD,Low,147982,0.43,0.52
Software Engineer,PhD,Low,81011,0.48,0.97
Data Scientist,PhD,Low,148691,0.4,0.44
UX Researcher,PhD,Medium,139014,0.44,0.39
Chef,Bachelor's,Medium,111164,0.62,0.34
Data Scientist,PhD,Low,37529,0.61,0.81
Doctor,PhD,Low,125707,0.26,0.34
Chef,Bachelor's,Medium,139633,0.31,0.48
AI Engineer,Master's,Low,75477,0.19,0.05
Teacher,Master's,Low,84756,0.12,0.1
Teacher,Master's,Low,67309,0.2,0.02
Research Scientist,Bachelor's,Low,130043,0.21,0.34
UX Researcher,PhD,Medium,101880,0.51,0.43
UX Researcher,PhD,Medium,37011,0.48,0.46
Security Guard,Master's,High,89658,0.89,0.73
Construction Worker,Bachelor's,High,99720,0.7,0.72
Chef,Bachelor's,Medium,115934,0.67,0.69
Teacher,Master's,Low,104713,0.07,0.7
Retail Worker,Master's,High,51622,0.86,0.97
Research Scientist,Bachelor's,Low,118635,0.16,0.92
Security Guard,Master's,High,58645,0.82,0.76
Graphic Designer,Bachelor's,Medium,74511,0.62,0.37
HR Specialist,Bachelor's,Medium,101013,0.32,0.8
Marketing Manager,Bachelor's,Low,131277,0.59,0.71
Financial Analyst,High School,Medium,47881,0.47,0.28
Software Engineer,PhD,Low,109741,0.38,0.3
Customer Support,PhD,High,126509,0.81,0.24
Financial Analyst,High School,Medium,85308,0.31,0.72
Truck Driver,Master's,High,41467,0.93,0.44
Software Engineer,PhD,Low,82762,0.5,0.23
Financial Analyst,High School,Medium,125711,0.36,0.51
Chef,Bachelor's,Medium,131011,0.32,0.27
HR Specialist,Bachelor's,Medium,36588,0.5,0.54
Mechanic,Master's,Medium,133768,0.45,0.74
Lawyer,Master's,Medium,149170,0.42,0.39
Construction Worker,Bachelor's,High,91860,0.89,0.31
Teacher,Master's,Low,106206,0.14,0.77
Customer Support,PhD,High,145155,0.77,0.18
Research Scientist,Bachelor's,Low,101812,0.18,0.58
UX Researcher,PhD,Medium,89199,0.43,0.88
Teacher,Master's,Low,141176,0.26,0.45
Software Engineer,PhD,Low,53983,0.56,0.33
Customer Support,PhD,High,35807,0.76,0.65
Mechanic,Master's,Medium,82546,0.35,0.63
Graphic Designer,Bachelor's,Medium,40987,0.46,0.67
Research Scientist,Bachelor's,Low,116856,0.12,0.09
Software Engineer,PhD,Low,71397,0.49,0.07
Security Guard,Master's,High,45456,0.7,0.04
Graphic Designer,Bachelor's,Medium,66911,0.4,0.86
Retail Worker,Master's,High,34852,0.9,0.08
Data Scientist,PhD,Low,42705,0.31,0.64
Nurse,Bachelor's,Low,65495,0.13,0.73
Truck Driver,Master's,High,99282,0.8,0.28
Software Engineer,PhD,Low,107275,0.61,0.96
Financial Analyst,High School,Medium,45573,0.57,0.68
Graphic Designer,Bachelor's,Medium,128853,0.47,0.87
UX Researcher,PhD,Medium,65314,0.37,0.67
Doctor,PhD,Low,88826,0.12,0.46
Truck Driver,Master's,High,53449,0.78,0.61
Marketing Manager,Bachelor's,Low,87564,0.44,0.66
Research Scientist,Bachelor's,Low,32405,0.19,0.89
Marketing Manager,Bachelor's,Low,114028,0.49,0.34
Construction Worker,Bachelor's,High,122061,0.82,0.5
UX Researcher,PhD,Medium,121396,0.5,0.31
Doctor,PhD,Low,87454,0.29,0.27
Teacher,Master's,Low,127216,0.15,0.94
Data Scientist,PhD,Low,89871,0.47,0.22
Mechanic,Master's,Medium,140564,0.57,0.51
Software Engineer,PhD,Low,76887,0.57,0.77
AI Engineer,Master's,Low,94817,0.24,0.54
Lawyer,Master's,Medium,90388,0.53,0.58
Teacher,Master's,Low,133323,0.2,0.09
Security Guard,Master's,High,119526,0.88,0.46
Data Scientist,PhD,Low,62676,0.66,0.16
Data Scientist,PhD,Low,44590,0.47,0.08
Software Engineer,PhD,Low,68463,0.58,0.78
Software Engineer,PhD,Low,52053,0.38,0.74
Software Engineer,PhD,Low,104767,0.55,0.86
Software Engineer,PhD,Low,65303,0.49,0.6
Chef,Bachelor's,Medium,34312,0.34,0.63
Nurse,Bachelor's,Low,69794,0.17,0.54
Truck Driver,Master's,High,80102,0.77,0.09
Construction Worker,Bachelor's,High,106743,0.8,0.63
Security Guard,Master's,High,67333,0.73,0.12
AI Engineer,Master's,Low,80724,0.09,0.99
HR Specialist,Bachelor's,Medium,107684,0.68,0.6
Marketing Manager,Bachelor's,Low,57161,0.33,0.5
UX Researcher,PhD,Medium,33687,0.64,0.64
Customer Support,PhD,High,58777,0.78,0.28
Graphic Designer,Bachelor's,Medium,58915,0.54,0.84
Lawyer,Master's,Medium,148222,0.32,0.8
UX Researcher,PhD,Medium,100880,0.37,0.24
Teacher,Master's,Low,112056,0.11,0.79
Software Engineer,PhD,Low,133144,0.36,0.66
Software Engineer,PhD,Low,127364,0.52,0.7
Security Guard,Master's,High,147257,0.75,0.91
UX Researcher,PhD,Medium,141706,0.46,0.67
Construction Worker,Bachelor's,High,60795,0.79,0.58
Security Guard,Master's,High,137729,0.87,0.45
Nurse,Bachelor's,Low,59340,0.29,0.86
HR Specialist,Bachelor's,Medium,75487,0.55,0.09
Truck Driver,Master's,High,123258,0.83,0.26
Teacher,Master's,Low,37160,0.17,0.85
UX Researcher,PhD,Medium,43869,0.41,0.63
Construction Worker,Bachelor's,High,142266,0.85,0.18
HR Specialist,Bachelor's,Medium,112833,0.32,0.34
Retail Worker,Master's,High,124538,0.73,0.01
Software Engineer,PhD,Low,54608,0.36,0.43
Marketing Manager,Bachelor's,Low,41367,0.5,0.66
Nurse,Bachelor's,Low,123159,0.11,0.07
Construction Worker,Bachelor's,High,138864,0.83,0.55
Security Guard,Master's,High,125504,0.93,0.97
Data Scientist,PhD,Low,90302,0.4,0.64
Research Scientist,Bachelor's,Low,72722,0.1,0.48
Retail Worker,Master's,High,116379,0.91,0.17
Data Scientist,PhD,Low,72412,0.48,0.39
Customer Support,PhD,High,74956,0.75,0.27
Teacher,Master's,Low,108872,0.17,0.27
HR Specialist,Bachelor's,Medium,90542,0.7,0.33
Customer Support,PhD,High,48481,0.83,0.65
Marketing Manager,Bachelor's,Low,37075,0.69,0.46
Lawyer,Master's,Medium,100043,0.64,0.46
Software Engineer,PhD,Low,105069,0.6,0.82
Teacher,Master's,Low,82692,0.16,0.46
Data Scientist,PhD,Low,71918,0.57,0.13
Customer Support,PhD,High,33264,0.78,0.53
Construction Worker,Bachelor's,High,144047,0.75,0.43
Research Scientist,Bachelor's,Low,83433,0.07,0.73
Chef,Bachelor's,Medium,99201,0.56,0.57
Software Engineer,PhD,Low,145131,0.52,0.64
Nurse,Bachelor's,Low,134290,0.29,0.07
Teacher,Master's,Low,100779,0.19,0.8
Research Scientist,Bachelor's,Low,100935,0.2,0.89
Doctor,PhD,Low,59483,0.18,0.34
Marketing Manager,Bachelor's,Low,61155,0.59,0.95
Marketing Manager,Bachelor's,Low,34176,0.45,0.82
Customer Support,PhD,High,50746,0.95,0.95
Doctor,PhD,Low,104557,0.27,0.47
Doctor,PhD,Low,131242,0.21,0.75
Software Engineer,PhD,Low,116949,0.65,0.29
Data Scientist,PhD,Low,88204,0.55,0.5
Doctor,PhD,Low,45089,0.29,0.96
Teacher,Master's,Low,83341,0.1,0.1
Construction Worker,Bachelor's,High,126621,0.73,0.55
Retail Worker,Master's,High,128283,0.93,0.53
Lawyer,Master's,Medium,100446,0.46,0.03
Chef,Bachelor's,Medium,107413,0.48,0.7
Research Scientist,Bachelor's,Low,106789,0.15,0.16
Chef,Bachelor's,Medium,86193,0.53,0.33
Chef,Bachelor's,Medium,102652,0.45,0.69
Mechanic,Master's,Medium,131038,0.39,0.58
Retail Worker,Master's,High,55143,0.85,0.19
Financial Analyst,High School,Medium,112702,0.45,0.81
Customer Support,PhD,High,141459,0.8,0.02
Graphic Designer,Bachelor's,Medium,56107,0.52,0.73
Lawyer,Master's,Medium,98402,0.43,0.47
Security Guard,Master's,High,36005,0.82,0.33
Doctor,PhD,Low,81038,0.26,0.07
UX Researcher,PhD,Medium,96783,0.49,0.63
Nurse,Bachelor's,Low,101020,0.16,0.78
Lawyer,Master's,Medium,95217,0.63,0.66
UX Researcher,PhD,Medium,97323,0.42,0.61
Teacher,Master's,Low,80049,0.28,0.47
Nurse,Bachelor's,Low,48428,0.24,0.22
Teacher,Master's,Low,85331,0.09,0.96
Marketing Manager,Bachelor's,Low,35973,0.45,0.53
Software Engineer,PhD,Low,67236,0.32,0.06
Financial Analyst,High School,Medium,112473,0.56,0.4
Chef,Bachelor's,Medium,138480,0.47,0.12
Data Scientist,PhD,Low,73464,0.44,0.56
Doctor,PhD,Low,118060,0.14,0.26
Software Engineer,PhD,Low,76905,0.67,0.87
Data Scientist,PhD,Low,101341,0.42,0.85
Security Guard,Master's,High,119314,0.79,0.49
Customer Support,PhD,High,109455,0.9,0.44
Software Engineer,PhD,Low,96951,0.69,0.08
Software Engineer,PhD,Low,44057,0.64,0.5
Retail Worker,Master's,High,60185,0.78,0.36
Data Scientist,PhD,Low,63797,0.31,0.68
HR Specialist,Bachelor's,Medium,52792,0.39,0.47
AI Engineer,Master's,Low,136827,0.07,0.64
Nurse,Bachelor's,Low,34134,0.06,0.19
Security Guard,Master's,High,117463,0.8,0.06
AI Engineer,Master's,Low,74597,0.25,0.48
HR Specialist,Bachelor's,Medium,40603,0.42,0.49
Teacher,Master's,Low,106968,0.22,0.7
Graphic Designer,Bachelor's,Medium,149700,0.61,0.79
Doctor,PhD,Low,77890,0.23,0.19
Research Scientist,Bachelor's,Low,141930,0.26,0.02
Financial Analyst,High School,Medium,65976,0.6,0.47
Marketing Manager,Bachelor's,Low,81356,0.36,0.14
Nurse,Bachelor's,Low,129928,0.25,0.76
Truck Driver,Master's,High,51625,0.75,0.61
Chef,Bachelor's,Medium,118760,0.4,0.05
Software Engineer,PhD,Low,111299,0.52,0.16
UX Researcher,PhD,Medium,94535,0.41,0.7
Truck Driver,Master's,High,116030,0.95,0.79
Security Guard,Master's,High,90127,0.9,0.08
Software Engineer,PhD,Low,55577,0.69,0.81
Construction Worker,Bachelor's,High,82573,0.89,0.95
Doctor,PhD,Low,44703,0.09,0.56
Financial Analyst,High School,Medium,66003,0.42,0.77
Research Scientist,Bachelor's,Low,44756,0.29,0.2
Graphic Designer,Bachelor's,Medium,45380,0.32,0.04
Truck Driver,Master's,High,139044,0.83,0.19
Data Scientist,PhD,Low,114705,0.56,0.52
Nurse,Bachelor's,Low,141375,0.09,0.34
Construction Worker,Bachelor's,High,135454,0.91,0.19
Research Scientist,Bachelor's,Low,55903,0.09,0.26
Retail Worker,Master's,High,55036,0.83,0.44
Financial Analyst,High School,Medium,117309,0.44,0.77
Software Engineer,PhD,Low,100412,0.57,0.28
Financial Analyst,High School,Medium,32414,0.6,0.84
Mechanic,Master's,Medium,140419,0.46,0.29
Research Scientist,Bachelor's,Low,55976,0.18,0.11
Doctor,PhD,Low,78787,0.13,0.96
Security Guard,Master's,High,104918,0.92,0.41
Retail Worker,Master's,High,118121,0.83,0.46
Truck Driver,Master's,High,34847,0.82,0.21
Retail Worker,Master's,High,100182,0.76,0.78
Software Engineer,PhD,Low,128757,0.34,0.41
UX Researcher,PhD,Medium,129584,0.36,0.77
Construction Worker,Bachelor's,High,59476,0.77,0.03
Research Scientist,Bachelor's,Low,81880,0.24,0.52
AI Engineer,Master's,Low,148283,0.08,0.37
Lawyer,Master's,Medium,32393,0.56,0.59
Retail Worker,Master's,High,35481,0.89,0.13
Data Scientist,PhD,Low,137033,0.48,0.88
AI Engineer,Master's,Low,49361,0.17,0.68
Teacher,Master's,Low,59146,0.1,0.04
Financial Analyst,High School,Medium,113102,0.67,0.75
UX Researcher,PhD,Medium,37769,0.33,0.41
Customer Support,PhD,High,126939,0.82,0.5
Retail Worker,Master's,High,68226,0.85,0.79
Customer Support,PhD,High,99516,0.72,0.46
Security Guard,Master's,High,143645,0.91,0.78
Graphic Designer,Bachelor's,Medium,134230,0.36,0.11
Lawyer,Master's,Medium,53167,0.38,0.28
UX Researcher,PhD,Medium,52772,0.39,0.01
Teacher,Master's,Low,55354,0.06,0.19
Lawyer,Master's,Medium,51942,0.57,0.81
HR Specialist,Bachelor's,Medium,38152,0.37,0.11
Graphic Designer,Bachelor's,Medium,134753,0.57,0.67
HR Specialist,Bachelor's,Medium,42061,0.64,0.32
HR Specialist,Bachelor's,Medium,76350,0.57,0.08
Financial Analyst,High School,Medium,99828,0.53,0.63
Graphic Designer,Bachelor's,Medium,37084,0.35,0.97
Chef,Bachelor's,Medium,112617,0.59,0.84
Security Guard,Master's,High,36486,0.86,0.07
Software Engineer,PhD,Low,107925,0.62,0.77
Mechanic,Master's,Medium,52474,0.34,0.17
Truck Driver,Master's,High,48274,0.71,0.67
Marketing Manager,Bachelor's,Low,79696,0.44,0.31
UX Researcher,PhD,Medium,82736,0.58,0.01
Doctor,PhD,Low,65539,0.19,0.33
Marketing Manager,Bachelor's,Low,71135,0.53,0.71
Lawyer,Master's,Medium,107487,0.32,0.05
UX Researcher,PhD,Medium,146298,0.54,0.64
Chef,Bachelor's,Medium,144571,0.56,0.38
Software Engineer,PhD,Low,112753,0.64,0.38
Software Engineer,PhD,Low,81716,0.47,0.88
AI Engineer,Master's,Low,46250,0.29,0.34
Doctor,PhD,Low,102006,0.25,0.14
Doctor,PhD,Low,60837,0.23,0.67
Data Scientist,PhD,Low,66742,0.43,0.6
Graphic Designer,Bachelor's,Medium,119131,0.31,0.56
Mechanic,Master's,Medium,107497,0.61,0.56
HR Specialist,Bachelor's,Medium,57788,0.35,0.68
Mechanic,Master's,Medium,64712,0.62,0.65
Financial Analyst,High School,Medium,68319,0.54,0.43
Retail Worker,Master's,High,67289,0.75,0.86
UX Researcher,PhD,Medium,75040,0.55,0.5
Truck Driver,Master's,High,120886,0.73,0.9
Financial Analyst,High School,Medium,64118,0.45,0.28
Graphic Designer,Bachelor's,Medium,125381,0.35,0.1
Customer Support,PhD,High,62146,0.74,0.88
Financial Analyst,High School,Medium,60410,0.4,0.78
Truck Driver,Master's,High,110449,0.75,0.47
Financial Analyst,High School,Medium,142691,0.51,0.31
Security Guard,Master's,High,33659,0.83,0.68
Doctor,PhD,Low,109911,0.12,0.94
Mechanic,Master's,Medium,117298,0.36,0.42
Nurse,Bachelor's,Low,100114,0.14,0.98
Nurse,Bachelor's,Low,149401,0.3,0.92
Lawyer,Master's,Medium,101160,0.32,0
Chef,Bachelor's,Medium,66594,0.55,0.65
Chef,Bachelor's,Medium,94043,0.67,0.9
Nurse,Bachelor's,Low,110270,0.07,0.83
Nurse,Bachelor's,Low,98393,0.22,0.66
Nurse,Bachelor's,Low,104038,0.14,0.37
Lawyer,Master's,Medium,104088,0.54,0.99
Marketing Manager,Bachelor's,Low,38290,0.58,0.27
Research Scientist,Bachelor's,Low,86373,0.27,0.39
Chef,Bachelor's,Medium,73532,0.65,0.25
Nurse,Bachelor's,Low,132708,0.26,0.07
Nurse,Bachelor's,Low,144846,0.2,0.35
Nurse,Bachelor's,Low,90254,0.24,0.29
Nurse,Bachelor's,Low,51219,0.26,0.84
Graphic Designer,Bachelor's,Medium,114899,0.5,0.47
Retail Worker,Master's,High,63275,0.93,0.97
Graphic Designer,Bachelor's,Medium,79662,0.47,0.47
Doctor,PhD,Low,62158,0.22,0.05
Research Scientist,Bachelor's,Low,103484,0.27,0.68
Doctor,PhD,Low,116810,0.11,0.46
Security Guard,Master's,High,104035,0.88,0.77
Financial Analyst,High School,Medium,83917,0.67,0.83
UX Researcher,PhD,Medium,91752,0.46,0.05
Retail Worker,Master's,High,120866,0.73,0.3
Security Guard,Master's,High,56974,0.7,0.14
Financial Analyst,High School,Medium,130672,0.47,0.93
AI Engineer,Master's,Low,58327,0.18,0.74
Doctor,PhD,Low,63258,0.13,0.4
Lawyer,Master's,Medium,95777,0.36,0.73
UX Researcher,PhD,Medium,105127,0.43,0.6
Teacher,Master's,Low,64846,0.11,0.73
Lawyer,Master's,Medium,89397,0.65,0.77
Teacher,Master's,Low,148915,0.26,0.98
Research Scientist,Bachelor's,Low,140554,0.27,0.95
Financial Analyst,High School,Medium,114153,0.67,0.06
Graphic Designer,Bachelor's,Medium,137526,0.44,0.8
Nurse,Bachelor's,Low,126482,0.25,0.65
UX Researcher,PhD,Medium,124274,0.67,0.49
HR Specialist,Bachelor's,Medium,48638,0.46,0.63
Software Engineer,PhD,Low,73162,0.56,0.74
Teacher,Master's,Low,66105,0.23,0.06
AI Engineer,Master's,Low,48246,0.05,0.72
Security Guard,Master's,High,86470,0.8,0.92
Marketing Manager,Bachelor's,Low,136054,0.52,0.22
Retail Worker,Master's,High,109721,0.85,0.47
Software Engineer,PhD,Low,90475,0.59,0.12
Truck Driver,Master's,High,48422,0.73,0.11
Data Scientist,PhD,Low,74380,0.41,0.33
Chef,Bachelor's,Medium,114999,0.68,0.57
Construction Worker,Bachelor's,High,45224,0.92,0.57
Construction Worker,Bachelor's,High,73302,0.9,0.24
Construction Worker,Bachelor's,High,97743,0.93,0.67
Data Scientist,PhD,Low,136974,0.68,0.25
Graphic Designer,Bachelor's,Medium,31987,0.41,0.33
Marketing Manager,Bachelor's,Low,102587,0.41,0.37
Doctor,PhD,Low,56932,0.25,0.38
Teacher,Master's,Low,114371,0.12,0.03
Nurse,Bachelor's,Low,133027,0.28,0.12
Research Scientist,Bachelor's,Low,45353,0.22,0.66
Construction Worker,Bachelor's,High,67970,0.82,0.98
Data Scientist,PhD,Low,57154,0.42,0.36
Marketing Manager,Bachelor's,Low,115793,0.51,0.49
Truck Driver,Master's,High,43174,0.81,0.22
Financial Analyst,High School,Medium,88323,0.32,0.62
Data Scientist,PhD,Low,123335,0.5,0.26
Doctor,PhD,Low,67877,0.17,0.36
Nurse,Bachelor's,Low,86779,0.22,0.2
Construction Worker,Bachelor's,High,34650,0.81,0.03
Lawyer,Master's,Medium,93884,0.44,0.05
Lawyer,Master's,Medium,37317,0.59,0.62
Chef,Bachelor's,Medium,123947,0.67,0.67
Teacher,Master's,Low,88524,0.18,0.26
Nurse,Bachelor's,Low,44316,0.22,0.62
Retail Worker,Master's,High,112142,0.76,0.54
Customer Support,PhD,High,124939,0.79,0.09
Customer Support,PhD,High,125756,0.91,0.85
Retail Worker,Master's,High,53255,0.82,0.32
Retail Worker,Master's,High,111808,0.75,0.62
Financial Analyst,High School,Medium,142102,0.33,0.05
Nurse,Bachelor's,Low,72690,0.25,0.43
Customer Support,PhD,High,39304,0.87,0.3
HR Specialist,Bachelor's,Medium,129581,0.33,0.82
Software Engineer,PhD,Low,69819,0.39,0.63
Truck Driver,Master's,High,141925,0.81,0.41
Research Scientist,Bachelor's,Low,75805,0.09,0.78
Construction Worker,Bachelor's,High,67326,0.91,0.92
HR Specialist,Bachelor's,Medium,69224,0.54,0.17
Data Scientist,PhD,Low,132567,0.52,0
Teacher,Master's,Low,129417,0.28,0.33
Mechanic,Master's,Medium,129652,0.31,0.35
Software Engineer,PhD,Low,58498,0.45,0.86
Truck Driver,Master's,High,37816,0.93,0.9
Lawyer,Master's,Medium,65074,0.42,0.42
Mechanic,Master's,Medium,46775,0.48,0.11
Software Engineer,PhD,Low,127095,0.54,0.77
AI Engineer,Master's,Low,85124,0.13,0.37
Nurse,Bachelor's,Low,48224,0.16,0.62
Chef,Bachelor's,Medium,80421,0.65,0.82
Marketing Manager,Bachelor's,Low,149028,0.5,0.65
Truck Driver,Master's,High,137919,0.8,0.9
Graphic Designer,Bachelor's,Medium,129391,0.4,0.5
Marketing Manager,Bachelor's,Low,105125,0.33,0.06
UX Researcher,PhD,Medium,127071,0.41,0.66
AI Engineer,Master's,Low,109036,0.12,0.68
Security Guard,Master's,High,59000,0.8,0.9
Truck Driver,Master's,High,45529,0.85,0.5
Security Guard,Master's,High,124845,0.94,0.33
Security Guard,Master's,High,135312,0.73,0.43
Nurse,Bachelor's,Low,95478,0.08,0.6
Graphic Designer,Bachelor's,Medium,71702,0.35,0.35
Retail Worker,Master's,High,123068,0.72,0.01
Construction Worker,Bachelor's,High,33911,0.72,0.6
Lawyer,Master's,Medium,121964,0.49,0.64
Data Scientist,PhD,Low,78229,0.57,0.12
Construction Worker,Bachelor's,High,66704,0.83,0.98
Retail Worker,Master's,High,91295,0.88,0.92
Customer Support,PhD,High,114532,0.86,0.01
Research Scientist,Bachelor's,Low,129211,0.06,0.14
Nurse,Bachelor's,Low,36826,0.16,0.69
Nurse,Bachelor's,Low,113899,0.19,0.91
Chef,Bachelor's,Medium,59407,0.61,0.78
Doctor,PhD,Low,120389,0.12,0.77
Teacher,Master's,Low,145796,0.2,0.98
Financial Analyst,High School,Medium,44433,0.44,0.5
Construction Worker,Bachelor's,High,120913,0.93,0.97
UX Researcher,PhD,Medium,128747,0.4,0.64
Mechanic,Master's,Medium,102593,0.32,0.15
Teacher,Master's,Low,57706,0.19,0.26
Security Guard,Master's,High,53665,0.75,0.43
HR Specialist,Bachelor's,Medium,109133,0.31,0.48
Data Scientist,PhD,Low,74329,0.47,0.73
Marketing Manager,Bachelor's,Low,37279,0.39,0.52
Chef,Bachelor's,Medium,69323,0.63,0.32
Graphic Designer,Bachelor's,Medium,81454,0.39,0.96
Construction Worker,Bachelor's,High,80366,0.78,0.45
Software Engineer,PhD,Low,71476,0.3,0.42
Mechanic,Master's,Medium,122850,0.6,0.37
Software Engineer,PhD,Low,80608,0.45,0.06
AI Engineer,Master's,Low,92188,0.22,0.25
Marketing Manager,Bachelor's,Low,43606,0.32,0.93
Teacher,Master's,Low,83568,0.22,0.64
UX Researcher,PhD,Medium,81638,0.44,0.63
Retail Worker,Master's,High,123309,0.71,0.07
Chef,Bachelor's,Medium,64873,0.53,0.13
Teacher,Master's,Low,78179,0.05,0.93
Research Scientist,Bachelor's,Low,78139,0.07,0.32
Teacher,Master's,Low,43445,0.28,0.43
Chef,Bachelor's,Medium,31299,0.56,0.82
Data Scientist,PhD,Low,104263,0.61,0.02
Teacher,Master's,Low,33250,0.28,0.88
Research Scientist,Bachelor's,Low,135050,0.15,0.96
HR Specialist,Bachelor's,Medium,80029,0.69,0.67
Security Guard,Master's,High,34965,0.82,0.33
Doctor,PhD,Low,148225,0.28,0.23
UX Researcher,PhD,Medium,118458,0.44,0.29
Security Guard,Master's,High,105763,0.9,0.55
Security Guard,Master's,High,99458,0.94,0.85
Nurse,Bachelor's,Low,34516,0.24,0.91
Teacher,Master's,Low,123606,0.18,0.34
Data Scientist,PhD,Low,149359,0.53,0.47
Financial Analyst,High School,Medium,37509,0.55,0.31
Data Scientist,PhD,Low,117178,0.64,0.21
Marketing Manager,Bachelor's,Low,49060,0.43,0.4
Teacher,Master's,Low,59235,0.14,0.44
Teacher,Master's,Low,79216,0.21,0.7
Teacher,Master's,Low,49789,0.11,0.17
Retail Worker,Master's,High,107171,0.87,0.02
Teacher,Master's,Low,30443,0.23,0.86
Mechanic,Master's,Medium,105494,0.66,0.09
